LEVEL,R_BITS,T1,decoder,nflips,av_errors_left,max_errors_left,n_tests
1,10301,134,PickyFix,85,6.445500,110.000000,10000
1,10301,134,PickyFix,90,7.632700,96.000000,10000
1,10301,134,PickyFix,95,9.474100,133.000000,10000
1,10301,134,PickyFix,100,11.588000,110.000000,10000
1,10301,134,PickyFix,105,14.236700,115.000000,10000
1,10301,134,PickyFix,110,17.027800,128.000000,10000
1,10301,134,PickyFix,115,19.407000,130.000000,10000
1,10301,134,PickyFix,120,22.740800,123.000000,10000
1,10301,134,PickyFix,125,26.540500,139.000000,10000
1,10301,134,PickyFix,130,29.784800,127.000000,10000
1,10401,134,BGF,NA,61.340300,102.000000,10000
1,10401,134,PickyFix,5,29.050800,98.000000,10000
1,10401,134,PickyFix,10,17.132900,119.000000,10000
1,10401,134,PickyFix,15,8.717900,114.000000,10000
1,10401,134,PickyFix,20,4.014800,67.000000,10000
1,10401,134,PickyFix,25,2.154000,60.000000,10000
1,10401,134,PickyFix,30,1.286300,73.000000,10000
1,10401,134,PickyFix,35,0.864900,71.000000,10000
1,10401,134,PickyFix,40,0.710400,65.000000,10000
1,10401,134,PickyFix,45,0.610100,56.000000,10000
1,10401,134,PickyFix,50,0.561100,42.000000,10000
1,10401,134,PickyFix,55,0.586400,70.000000,10000
1,10401,134,PickyFix,60,0.664200,77.000000,10000
1,10401,134,PickyFix,65,0.820500,77.000000,10000
1,10401,134,PickyFix,70,1.012700,65.000000,10000
1,10401,134,PickyFix,75,1.460100,58.000000,10000
1,10401,134,PickyFix,80,1.818300,81.000000,10000
1,10401,134,PickyFix,85,2.309400,74.000000,10000
1,10401,134,PickyFix,90,3.105000,101.000000,10000
1,10401,134,PickyFix,95,3.895200,102.000000,10000
1,10401,134,PickyFix,100,5.074000,72.000000,10000
1,10401,134,PickyFix,105,6.644800,83.000000,10000
1,10401,134,PickyFix,110,7.991700,103.000000,10000
1,10401,134,PickyFix,115,10.040200,107.000000,10000
1,10401,134,PickyFix,120,12.084700,110.000000,10000
1,10401,134,PickyFix,125,14.794100,101.000000,10000
1,10401,134,PickyFix,130,17.324500,116.000000,10000
1,10501,134,BGF,NA,61.428600,106.000000,10000
1,10501,134,PickyFix,5,23.268800,87.000000,10000
1,10501,134,PickyFix,10,12.675000,57.000000,10000
1,10501,134,PickyFix,15,5.406500,56.000000,10000
1,10501,134,PickyFix,20,2.198500,47.000000,10000
1,10501,134,PickyFix,25,0.929500,45.000000,10000
1,10501,134,PickyFix,30,0.523400,35.000000,10000
1,10501,134,PickyFix,35,0.306400,43.000000,10000
1,10501,134,PickyFix,40,0.215300,28.000000,10000
1,10501,134,PickyFix,45,0.181700,43.000000,10000
1,10501,134,PickyFix,50,0.176700,30.000000,10000
1,10501,134,PickyFix,55,0.169400,33.000000,10000
1,10501,134,PickyFix,60,0.187000,37.000000,10000
1,10501,134,PickyFix,65,0.248400,35.000000,10000
1,10501,134,PickyFix,70,0.277300,40.000000,10000
1,10501,134,PickyFix,75,0.379100,44.000000,10000
1,10501,134,PickyFix,80,0.587500,42.000000,10000
1,10501,134,PickyFix,85,0.792800,52.000000,10000
1,10501,134,PickyFix,90,1.056600,65.000000,10000
1,10501,134,PickyFix,95,1.450300,55.000000,10000
1,10501,134,PickyFix,100,1.950100,78.000000,10000
1,10501,134,PickyFix,105,2.614700,62.000000,10000
1,10501,134,PickyFix,110,3.341200,87.000000,10000
1,10501,134,PickyFix,115,4.551000,88.000000,10000
1,10501,134,PickyFix,120,5.647600,78.000000,10000
1,10501,134,PickyFix,125,7.250100,86.000000,10000
1,10501,134,PickyFix,130,8.766700,85.000000,10000
